station_complex,station,Route,Borough,GTFS Stop ID,Division,CBD,total_ridership,transit_date,str_Coordinates,art_gallery_count,art_studio_count,auditorium_count,cultural_landmark,historical_place,monument,museum,performing_arts_theater,sculpture
"W 8 St-NY Aquarium (F,Q)",W 8 St-NY Aquarium,Q,Bk,D42,BMT,False,2310.0,2025-07-10T00:00:00.000,"(40.576127, -73.975939)",5,2,-1,1,5,1,2,5,3
"W 8 St-NY Aquarium (F,Q)",W 8 St-NY Aquarium,F,Bk,D42,BMT,False,2310.0,2025-07-10T00:00:00.000,"(40.576127, -73.975939)",5,2,-1,1,5,1,2,5,3
"W 8 St-NY Aquarium (F,Q)",W 8 St-NY Aquarium,Q,Bk,D42,BMT,False,2854.0,2025-07-09T00:00:00.000,"(40.576127, -73.975939)",5,2,-1,1,5,1,2,5,3
"W 8 St-NY Aquarium (F,Q)",W 8 St-NY Aquarium,F,Bk,D42,BMT,False,2854.0,2025-07-09T00:00:00.000,"(40.576127, -73.975939)",5,2,-1,1,5,1,2,5,3
"W 8 St-NY Aquarium (F,Q)",W 8 St-NY Aquarium,Q,Bk,D42,BMT,False,3430.0,2025-07-05T00:00:00.000,"(40.576127, -73.975939)",5,2,-1,1,5,1,2,5,3
"W 8 St-NY Aquarium (F,Q)",W 8 St-NY Aquarium,F,Bk,D42,BMT,False,3430.0,2025-07-05T00:00:00.000,"(40.576127, -73.975939)",5,2,-1,1,5,1,2,5,3
"W 8 St-NY Aquarium (F,Q)",W 8 St-NY Aquarium,Q,Bk,D42,BMT,False,2666.0,2025-06-24T00:00:00.000,"(40.576127, -73.975939)",5,2,-1,1,5,1,2,5,3
"W 8 St-NY Aquarium (F,Q)",W 8 St-NY Aquarium,F,Bk,D42,BMT,False,2666.0,2025-06-24T00:00:00.000,"(40.576127, -73.975939)",5,2,-1,1,5,1,2,5,3
"W 8 St-NY Aquarium (F,Q)",W 8 St-NY Aquarium,Q,Bk,D42,BMT,False,3302.0,2025-06-20T00:00:00.000,"(40.576127, -73.975939)",5,2,-1,1,5,1,2,5,3
"W 8 St-NY Aquarium (F,Q)",W 8 St-NY Aquarium,F,Bk,D42,BMT,False,3302.0,2025-06-20T00:00:00.000,"(40.576127, -73.975939)",5,2,-1,1,5,1,2,5,3
"W 8 St-NY Aquarium (F,Q)",W 8 St-NY Aquarium,Q,Bk,D42,BMT,False,2891.0,2025-06-11T00:00:00.000,"(40.576127, -73.975939)",5,2,-1,1,5,1,2,5,3
"W 8 St-NY Aquarium (F,Q)",W 8 St-NY Aquarium,F,Bk,D42,BMT,False,2891.0,2025-06-11T00:00:00.000,"(40.576127, -73.975939)",5,2,-1,1,5,1,2,5,3
