GTFS Stop ID,Division,Stop Name,Borough,CBD,Route,GTFS Latitude,GTFS Longitude
R01,BMT,Astoria-Ditmars Blvd,Q,False,N,40.775036,-73.912034
R01,BMT,Astoria-Ditmars Blvd,Q,False,W,40.775036,-73.912034
R03,BMT,Astoria Blvd,Q,False,N,40.770258,-73.917843
R03,BMT,Astoria Blvd,Q,False,W,40.770258,-73.917843
R04,BMT,30 Av,Q,False,N,40.766779,-73.921479
R04,BMT,30 Av,Q,False,W,40.766779,-73.921479
R05,BMT,Broadway,Q,False,N,40.76182,-73.925508
R05,BMT,Broadway,Q,False,W,40.76182,-73.925508
R06,BMT,36 Av,Q,False,N,40.756804,-73.929575
R06,BMT,36 Av,Q,False,W,40.756804,-73.929575
R08,BMT,39 Av-Dutch Kills,Q,False,N,40.752882,-73.932755
R08,BMT,39 Av-Dutch Kills,Q,False,W,40.752882,-73.932755
R11,BMT,Lexington Av/59 St,M,True,N,40.76266,-73.967258
R11,BMT,Lexington Av/59 St,M,True,R,40.76266,-73.967258
R11,BMT,Lexington Av/59 St,M,True,W,40.76266,-73.967258
R13,BMT,5 Av/59 St,M,True,N,40.764811,-73.973347
R13,BMT,5 Av/59 St,M,True,R,40.764811,-73.973347
R13,BMT,5 Av/59 St,M,True,W,40.764811,-73.973347
R14,BMT,57 St-7 Av,M,True,N,40.764664,-73.980658
R14,BMT,57 St-7 Av,M,True,Q,40.764664,-73.980658
R14,BMT,57 St-7 Av,M,True,R,40.764664,-73.980658
R14,BMT,57 St-7 Av,M,True,W,40.764664,-73.980658
R15,BMT,49 St,M,True,N,40.759901,-73.984139
R15,BMT,49 St,M,True,R,40.759901,-73.984139
R15,BMT,49 St,M,True,W,40.759901,-73.984139
R16,BMT,Times Sq-42 St,M,True,N,40.754672,-73.986754
R16,BMT,Times Sq-42 St,M,True,Q,40.754672,-73.986754
R16,BMT,Times Sq-42 St,M,True,R,40.754672,-73.986754
R16,BMT,Times Sq-42 St,M,True,W,40.754672,-73.986754
R17,BMT,34 St-Herald Sq,M,True,N,40.749567,-73.98795
R17,BMT,34 St-Herald Sq,M,True,Q,40.749567,-73.98795
R17,BMT,34 St-Herald Sq,M,True,R,40.749567,-73.98795
R17,BMT,34 St-Herald Sq,M,True,W,40.749567,-73.98795
R18,BMT,28 St,M,True,R,40.745494,-73.988691
R18,BMT,28 St,M,True,W,40.745494,-73.988691
R19,BMT,23 St,M,True,R,40.741303,-73.989344
R19,BMT,23 St,M,True,W,40.741303,-73.989344
R20,BMT,14 St-Union Sq,M,True,N,40.735736,-73.990568
R20,BMT,14 St-Union Sq,M,True,Q,40.735736,-73.990568
R20,BMT,14 St-Union Sq,M,True,R,40.735736,-73.990568
R20,BMT,14 St-Union Sq,M,True,W,40.735736,-73.990568
R21,BMT,8 St-NYU,M,True,R,40.730328,-73.992629
R21,BMT,8 St-NYU,M,True,W,40.730328,-73.992629
R22,BMT,Prince St,M,True,R,40.724329,-73.997702
R22,BMT,Prince St,M,True,W,40.724329,-73.997702
R23,BMT,Canal St,M,True,R,40.719527,-74.001775
R23,BMT,Canal St,M,True,W,40.719527,-74.001775
Q01,BMT,Canal St,M,True,N,40.718383,-74.00046
Q01,BMT,Canal St,M,True,Q,40.718383,-74.00046
R24,BMT,City Hall,M,True,R,40.713282,-74.006978
R24,BMT,City Hall,M,True,W,40.713282,-74.006978
R25,BMT,Cortlandt St,M,True,R,40.710668,-74.011029
R25,BMT,Cortlandt St,M,True,W,40.710668,-74.011029
R26,BMT,Rector St,M,True,R,40.70722,-74.013342
R26,BMT,Rector St,M,True,W,40.70722,-74.013342
R27,BMT,Whitehall St-South Ferry,M,True,R,40.703087,-74.012994
R27,BMT,Whitehall St-South Ferry,M,True,W,40.703087,-74.012994
R28,BMT,Court St,Bk,False,R,40.6941,-73.991777
R29,BMT,Jay St-MetroTech,Bk,False,R,40.69218,-73.985942
R30,BMT,DeKalb Av,Bk,False,B,40.690635,-73.981824
R30,BMT,DeKalb Av,Bk,False,Q,40.690635,-73.981824
