station_complex,str_Coordinates,median(avail_score)
Astor Pl (6),"(40.730054, -73.99107)",93.6624000954507
"8 St-NYU (R,W)","(40.730328, -73.992629)",93.59171596219304
18 St (1),"(40.74104, -73.997871)",93.36547196969423
Canal St (1),"(40.722854, -74.006277)",93.01386097006043
"Prince St (R,W)","(40.724329, -73.997702)",93.00262605671777
"W 4 St-Wash Sq (A,C,E,B,D,F,M)","(40.732338, -74.000495)",92.58508200721255
23 St (1),"(40.744081, -73.995657)",92.3772517266821
"Spring St (C,E)","(40.726227, -74.003739)",92.34999707808245
Houston St (1),"(40.728251, -74.005367)",92.34406222950648
Spring St (6),"(40.722301, -73.997141)",92.16132667572255
"Bowery (J,Z)","(40.72028, -73.993915)",91.83405656442574
"23 St (F,M)","(40.742878, -73.992821)",91.59136565745767
"23 St (R,W)","(40.741303, -73.989344)",91.50195027670856
3 Av (L),"(40.732849, -73.986122)",91.42046981811106
"14 St (F,M,1,2,3)/6 Av (L)","(40.737826, -74.000201)",91.41344857848614
"Broadway-Lafayette St (B,D,F,M)/Bleecker St (6)","(40.725297, -73.996204)",91.1113339737434
2 Av (F),"(40.723402, -73.989938)",90.67998965154553
57 St (F),"(40.763972, -73.97745)",90.63367395899019
"23 St (C,E)","(40.745906, -73.998041)",90.46578884391505
"5 Av/53 St (E,M)","(40.760167, -73.975224)",90.3951156234361
Franklin St (1),"(40.719318, -74.006886)",90.17825424901791
"City Hall (R,W)","(40.713282, -74.006978)",90.12752593061086
"5 Av/59 St (N,R,W)","(40.764811, -73.973347)",90.10444647139568
23 St (6),"(40.739864, -73.986599)",90.00917882820676
"14 St (A,C,E)/8 Av (L)","(40.740893, -74.00169)",89.84236343741249
"14 St-Union Sq (L,N,Q,R,W,4,5,6)","(40.734673, -73.989951)",89.76959628988756
"Canal St (A,C,E)","(40.720824, -74.005229)",89.74211075761795
"50 St (C,E)","(40.762456, -73.985984)",89.46092325144505
"72 St (C,B)","(40.775594, -73.97641)",89.42497668469625
"57 St-7 Av (N,Q,R,W)","(40.764664, -73.980658)",89.31240852772673
50 St (1),"(40.761728, -73.983849)",89.16027074079753
"Lexington Av/63 St (F,Q)","(40.764629, -73.966113)",89.09618597793343
"Chambers St (1,2,3)","(40.715478, -74.009266)",88.28814392700878
"47-50 Sts-Rockefeller Ctr (B,D,F,M)","(40.758663, -73.981329)",88.21607497626442
"49 St (N,R,W)","(40.759901, -73.984139)",88.20695302804526
66 St-Lincoln Center (1),"(40.77344, -73.982209)",88.15962998973039
28 St (1),"(40.747215, -73.993365)",88.15685089582863
"81 St-Museum of Natural History (C,B)","(40.781433, -73.972143)",87.8990384354184
"Grand St (B,D)","(40.718267, -73.993753)",87.89730701717863
"Canal St (J,N,Q,R,W,Z,6)","(40.718092, -73.999892)",87.87229176730021
68 St-Hunter College (6),"(40.768141, -73.96387)",87.61813464628317
"Brooklyn Bridge-City Hall (4,5,6)/Chambers St (J,Z)","(40.713065, -74.004131)",87.4829638513801
"59 St-Columbus Circle (A,B,C,D,1)","(40.768247, -73.981929)",87.3377632863112
"28 St (R,W)","(40.745494, -73.988691)",87.2124220419577
28 St (6),"(40.74307, -73.984264)",87.11033316236733
1 Av (L),"(40.730953, -73.981628)",86.99324923021805
"Broad St (J,Z)","(40.706476, -74.011056)",86.85541504209107
33 St (6),"(40.746081, -73.982076)",86.70870025944653
East Broadway (F),"(40.713715, -73.990173)",86.29907410927038
"72 St (1,2,3)","(40.778453, -73.98197)",86.22644237768797
WTC Cortlandt (1),"(40.711835, -74.012188)",86.21598864124945
79 St (1),"(40.783934, -73.979917)",86.14215269597071
"Chambers St (A,C)/WTC (E)/Park Pl (2,3)/Cortlandt (R,W)","(40.714111, -74.008585)",86.09155850640256
"Rector St (R,W)","(40.70722, -74.013342)",85.72770792699878
"Wall St (2,3)","(40.706821, -74.0091)",85.67178870173247
Rector St (1),"(40.707513, -74.013783)",85.31223063899294
"Wall St (4,5)","(40.707557, -74.011862)",85.16639956604372
"Grand Central-42 St (S,4,5,6,7)","(40.751431, -73.976041)",85.15740341698842
"86 St (C,B)","(40.785868, -73.968916)",84.92307256493773
"Fulton St (A,C,J,Z,2,3,4,5)","(40.709416, -74.006571)",84.2276391136781
"34 St-Herald Sq (B,D,F,M,N,Q,R,W)","(40.749567, -73.98795)",84.22577577365209
"Times Sq-42 St (N,Q,R,W,S,1,2,3,7)/42 St (A,C,E)","(40.754672, -73.986754)",84.10788699827452
"34 St-Penn Station (1,2,3)","(40.750373, -73.991057)",84.00871853118905
"34 St-Penn Station (A,C,E)","(40.752287, -73.993391)",83.76295004854984
Roosevelt Island (F),"(40.759145, -73.95326)",83.42579180989594
34 St-Hudson Yards (7),"(40.755882, -74.00191)",83.36461161648876
77 St (6),"(40.77362, -73.959874)",82.7470662930447
"Clark St (2,3)","(40.697466, -73.993086)",82.19239578177219
72 St (Q),"(40.768799, -73.958424)",81.99568643550265
"High St (A,C)","(40.699337, -73.990531)",81.76869889714055
"96 St (C,B)","(40.791642, -73.964696)",81.71468992429544
86 St (1),"(40.788644, -73.976218)",81.4286576555358
York St (F),"(40.701397, -73.986751)",80.4873668663184
"Hoyt St (2,3)","(40.690545, -73.985065)",79.56134811083845
"86 St (4,5,6)","(40.779492, -73.955589)",79.43949910760341
86 St (Q),"(40.777891, -73.951787)",78.25208770849127
"Bergen St (F,G)","(40.686145, -73.990862)",77.3789801817089
"Hoyt-Schermerhorn Sts (A,C,G)","(40.688484, -73.985001)",77.11689532962274
"Bowling Green (4,5)","(40.704817, -74.014065)",76.77842732908734
"Nevins St (2,3,4,5)","(40.688246, -73.980492)",76.74447563613671
"DeKalb Av (B,Q,R)","(40.690635, -73.981824)",76.681135864392
96 St (6),"(40.785672, -73.95107)",76.61415596492569
"Jay St-MetroTech (A,C,F,R)","(40.69218, -73.985942)",76.27464399470965
96 St (Q),"(40.784318, -73.947152)",75.50047862691686
Lafayette Av (C),"(40.686113, -73.973946)",75.06904680764411
"Bergen St (2,3)","(40.680829, -73.975098)",74.53653770251475
Union St (R),"(40.677316, -73.98311)",74.2571599836871
Park Pl (S),"(40.674772, -73.957624)",74.06965184593301
"7 Av (B,Q)","(40.67705, -73.972367)",73.03505929472016
"116 St (C,B)","(40.805085, -73.954882)",72.85486514801008
"103 St (C,B)","(40.796092, -73.961454)",72.79029565259026
"Grand Army Plaza (2,3)","(40.675235, -73.971046)",72.6480948052835
Fulton St (G),"(40.687119, -73.975375)",72.61924061696641
"7 Av (E,B,D)","(40.67705, -73.972367)",71.7457667994943
"135 St (C,B)","(40.817894, -73.947649)",71.39241273358792
"96 St (1,2,3)","(40.793919, -73.972323)",71.29790121124461
"Atlantic Av-Barclays Ctr (B,D,N,Q,R,2,3,4,5)","(40.683666, -73.97881)",71.25957899171057
Clinton-Washington Avs (C),"(40.683263, -73.965838)",71.21320266717012
Harlem-148 St (3),"(40.82388, -73.93647)",70.73569515636238
"Lorimer St (M,J)","(40.703869, -73.947408)",70.56653084246148
"Carroll St (F,G)","(40.680303, -73.995048)",70.47019219991114
145 St (3),"(40.820421, -73.936245)",70.27785789826673
Broadway (G),"(40.706092, -73.950308)",69.66024389174012
"116 St (2,3)","(40.802098, -73.949625)",69.45848099996346
Clinton-Washington Avs (G),"(40.688089, -73.966839)",69.40985701468412
"7 Av (F,G)","(40.666271, -73.980305)",69.26038110620922
"155 St (B,D)","(40.830135, -73.938209)",69.18516774501978
"Hewes St (M,J)","(40.70687, -73.953431)",68.71042245290403
Flushing Av (G),"(40.700377, -73.950234)",68.6238092880507
Graham Av (L),"(40.714565, -73.944053)",68.45065409236648
"Eastern Pkwy-Brooklyn Museum (2,3)","(40.671987, -73.964375)",68.22194324057041
"125 St (2,3)","(40.807754, -73.945495)",67.10972543864418
"135 St (2,3)","(40.814229, -73.94077)",67.09884759421206
137 St-City College (1),"(40.822008, -73.953676)",67.06807257968191
Grand St (L),"(40.711926, -73.94067)",66.96014913938794
Prospect Av (R),"(40.665414, -73.992872)",66.70849972215258
125 St (1),"(40.815581, -73.958372)",66.6949282853898
Classon Av (G),"(40.688873, -73.96007)",66.29642783400382
"Franklin Av (C,S)","(40.680596, -73.955827)",66.29498942466442
Montrose Av (L),"(40.707739, -73.93985)",66.20714900800934
Morgan Av (L),"(40.706152, -73.933147)",66.19864916785232
21 St-Queensbridge (F),"(40.754203, -73.942836)",66.14958515374697
Central Av (M),"(40.697857, -73.927397)",66.10620729064213
155 St (C),"(40.830518, -73.941514)",66.03585382853083
Jefferson St (L),"(40.706607, -73.922913)",65.9687740799123
Nostrand Av (3),"(40.669847, -73.950466)",65.91436512823235
Kosciuszko St (J),"(40.693342, -73.928814)",65.87308597999134
21 St (G),"(40.744065, -73.949724)",65.67913969215486
Vernon Blvd-Jackson Av (7),"(40.742626, -73.953581)",65.58568999259063
"President St-Medgar Evers College (2,5)","(40.667883, -73.950683)",65.55249268601754
"145 St (A,C,B,D)","(40.824783, -73.944216)",65.1723919119047
"39 Av-Dutch Kills (N,W)","(40.752882, -73.932755)",65.12980441692216
